source_line,asin,user_id,rating,title,text,reference_label,prediction,status,error_detail
108472,B072F9T6VX,AFYVUJ5RYKIMR4SRV7DT2BIQ26XA,1.0,Such a waste of time,"I ordered this gift card weeks prior to Father's day (May) and it arrived EMPTY...no gift card in sight a week ago (end of July).  I'd already called and cancelled the card since it was way too late to give to my step-father (I opted for a Home Depot card online) and I did receive a refund from Amazon when I contacted them to complain that the card was late however, if I had not cancelled, the package arrives months later and then is empty?  VERY ANNOYING and will never order a 'physical' gift card from Amazon again.  I am aware of the electronic gift cards Amazon offers however, I did not think my step dad would understand how that worked...I learned later that he is tech  savvy and has no problem using e-gift cards (thankfully!).  Point being, it took forever to receive and then the card was missing.",NEGATIVE,NEGATIVE,ok,
103539,B0763VZ9Z7,AGABCIRSYDLLL2277LK5ULRRCQYQ,1.0,Mother's Day Failure,"Dislike. I put in AmerMom20...code, I saw code was accepted, for Mother's day. But did not receive the $25 for myself as advertised. Of course I couldn't reach anyone at Amazon for follow-up.",NEGATIVE,NEGATIVE,ok,
124694,B07Q8K8TLH,AHP72QAPIIGQBXNYDASQSO447QJQ,1.0,Card is not activated,Card is not activated,NEGATIVE,NEGATIVE,ok,
125127,B07Y5W866K,AH2XMIKKFADKLTFITEEB3AS6UCBQ,1.0,Amazon Scam,"Do not purchase gift cards through Amazon! I received these cards and despite purchasing a $50 balance on each card, each card had a $0 balance. This is a scam!",NEGATIVE,NEGATIVE,ok,
91114,B01K8RJVDQ,AEJKHQACOO6KJVQIWYPPMFDAMR6Q,1.0,Wasn't honored,"You froze my grandsons account and when I called about refunding me, I was advised ""they'll contact you by mail""..... this was months ago. Still no results and no contact.<br /><br />Update: STILL no response from Amazon. This is ridiculous. 2/9/23<br />Still ridiculous. 3/25/23",NEGATIVE,NEGATIVE,ok,
134551,B07GH6WX29,AHARSKNOHMUWWGKURM3EJYA2M2KA,1.0,DO NOT BUY,"This was the worst experience every! I purchased the grift card for my daughter, she placed her order and paid using the gift card. Two days later I was asked to update payment. The card did not work and the funds were taken off the card. The balance said .35 cents and til this day I still have no idea however Amazon did give me a credit.",NEGATIVE,NEGATIVE,ok,
73808,B00IX1I3G6,AFOVPBVMCY3NLHP7K5YK4SH3AIGA,1.0,Confusing,No real explanation of the process. I still don't know exactly what happened and whether I screwed myself with some kind of locked-down earmark I can't get at.,NEGATIVE,NEGATIVE,ok,
82008,B00IX1I3G6,AHJVCVEO3UEWQZB4X6FS6L3M4R2Q,1.0,My account was hacked,I didn’t even purchase this item and amazon did nothing to help me secure my account... I’m pretty livid about that...,NEGATIVE,NEGATIVE,ok,
110281,B01MSBQB1P,AGL2KX2ZFUQBRZGAHJIN2RIS7ZHA,1.0,buyer beware,they never worked as advertised,NEGATIVE,NEGATIVE,ok,
27416,B01GKZ39UQ,AHO64S6DCEU7SAA4PG23M5CKVVSA,2.0,Not pretty. Damaged but still worked.,"I purchased this card for my mother. It was damaged but it worked. Not good for gift-giving unless you have no other choice, which was my situation.",NEGATIVE,NEGATIVE,ok,
139611,B07HJD9FVV,AEYUAD2KYU2AXI2BORTQMREUF2PA,1.0,COMES BLANK. DO NOT BUY,Do Not buy!!!!!!!<br />Card arrived with zero balance. Got the run around from Amazon and VISA that it was the other person's fault. To date I'm out $200 and no gift card. Amazin says they are not liable.,NEGATIVE,NEGATIVE,ok,
118019,B00IX1I3G6,AGN35SB5SOWCLVTFBX4YMEHG5UTQ,1.0,SCAM. Buyer Beware. Bait and switch,This is a scam after the first time you don’t get the $10.00 reload bonus. You don’t get 2% either unless you are using a bank account etc. Amazon this is bait and switch. What a scam,NEGATIVE,NEGATIVE,ok,
126967,B0080IR6RY,AFTYEK5XLZLQX7WHWVDSEWSUFCKQ,1.0,GIFT CARD PROGRAM NEEDS A CHANGE TO GET MORE THAN ONE STAR FROM ME,"Last April TurboTax offered me the option of sending my $4500 refund to Amazon and I accepted the offer, not only because of the nice bonus, but it would give me a nice pot of money to place many orders with Amazon.  I have placed many orders but I have been extremely disappointed in your policy of not letting me purchase gift cards with my tax refund.  The main reason I sent you my tax refund was so I could purchase many gift cards for my relatives, friends, and neighbors.  I can understand not letting someone use a gift card that someone has given them to purchase a gift card for someone else but my gift card is not something someone has given me; IT IS MY OWN MONEY which I authorized the IRS to send to Amazon.  I think you should have a  different category for peoples own money and allow them to buy gift cards.  If I had been allowed to buy gift cards with my tax refund money, I would have introduced Amazon to at least 20 new customers this year; I know that is not many but I bet I am not the only one who sent you their tax refund.  I cannot give gift cards more than one star until you allow your customers to buy gift cards with their own money which they have already sent to Amazon.",NEGATIVE,NEGATIVE,ok,
87862,B071NM2PNL,AHDLPVKPHXGW3MRCCFRQXESO6UKQ,1.0,cant peel off code,not easy to use ..cant peel off unusable...,NEGATIVE,NEGATIVE,ok,
6398,B01JQSP498,AGUJL62KOJ2MIZOV4P7IT6A6DQRQ,1.0,gift registry,"The address of the gift registry is not shown for ""privacy reasons"".. There is no record of tracked package and the recipient of these gifts did not get the package.",NEGATIVE,NEGATIVE,ok,
127973,B0080IR72S,AE4GUGNT3UKAR7NI3XAOLTEAPMNQ,1.0,One Star,The metal cases were dented and scratched. Unable to use them.,NEGATIVE,NEGATIVE,ok,
106681,B01IE42ST4,AFA3QZQBPE7KPX446652MCGJGOEQ,1.0,Gift Cards,Was going to order these for gifts for all family birthdays BUT after hearing the terrible reviews and what Amazon put people through when buying multiple cards and other issues NO WAY would I ever purchase them! Amazon better get their act together on these and be fair!!! Or STOP selling them ! Very disappointed….. always liked your company ….. are getting too big for us “little” consumers!,NEGATIVE,NEGATIVE,ok,
119792,B07GFQ5B44,AF535WMAXHB53IGMYRFQ73P7RWGA,1.0,Unable to use,"Do not buy!!!!!  Cards came unable be activated.  I spent over 4 hours on the phone between Amazon and Mastercard.  Amazon will not activate any will not refund.  They tell you to call Mastercard to get it activated.  Mastercard says it is Amazon who has to activate.  Amazon customer service was horrible.  Amazon is selling a product that can't be used and refuses to refund.  I understand that I purchased a non-refundable item and why a gift card would be non-refundable, but I purchased 2 $200 cards that said they would be ready to use, when in fact they can't be used at all.  Mastercard told me that this has been happening with Amazon and that they were aware this is an issue.  Do not buy!!!!!",NEGATIVE,NEGATIVE,ok,
151911,B07WRT8KQ9,AEZWKMSBILRAUUCOIPJOP2TU4N2A,1.0,Get a gift card to the course you like or just cash way better than this,Like the other reviews this card is horrible. They have limited courses. They don't answer thier phones. You can't use it as a gift card you have to book a tee time and then submit a reimbursement form. You can convert to TopGolf and thats what I did. It takes several days. Within 50 miles of my location. There is only 11 available courses and there is proabky 75 or more courses in that area.,NEGATIVE,NEGATIVE,ok,
25477,B07GH6WX29,AGMDZHTTVTYCUJ62EZPMNFX2SFXA,1.0,Card had already been emptied when received,This card had been used & had no money left when it was opened- arrived - in package- with $0.00!!<br />Apparently - this has happened before too!!!,NEGATIVE,NEGATIVE,ok,
138272,B00IX1I3G6,AHDP6Z7Y3DZTXNZKLQ2ZANIDZ4EQ,1.0,Fraud,I rated this item a -10000000 because someone was easily capable of using my account (hacking) to buy this item. And I am still irritated about it.,NEGATIVE,NEGATIVE,ok,
85478,B00O3YJVRW,AFCCAB32IZPTB3EOAOVMFUCKURMQ,1.0,One Star,rip off and the staff is terrible,NEGATIVE,NEGATIVE,ok,
113270,B086KKT3RX,AGTH2OG7DHVMAC2P25MJYXKQE3VQ,1.0,What is it...,I don't even know what this is or who ordered it,NEGATIVE,NEGATIVE,ok,
102703,B01DCN8P2Q,AEIM4YSTGLAZ66COA44LD67PWXDQ,1.0,Skip the tin,"The tin isn't worth a darn. Big rectangular hole in the back. When people choose the tin instead of the greeting card, or just an envelope, it's because they plan to keep the tin and use it. These are absolutely worthless. Not even worth the cost of free.",NEGATIVE,NEGATIVE,ok,
64871,B07FK7L976,AHF2SFB2PC33T4TQDGQB3NNABUMQ,1.0,NONE OF THE COUPONS WORKED,"Cannot get in touch with Amazon, and none of these coupons actually worked.",NEGATIVE,NEGATIVE,ok,
140770,B00OOKDO4Q,AEV7DCMVKXGRZHUEPJZW55OZJK4Q,1.0,App Store and ITunes Card was not activated,I purchased this directly from Amazon Services and the card I received was not activated.  Was on the phone with Amazon customer service for almost an hour and they didn’t know how to fix it.  Ended up requesting a refund.  What a waste of my time!,NEGATIVE,NEGATIVE,ok,
19751,B00IX1I3G6,AGDEJXEZ4SDNAN27NN7V4IFWA36A,1.0,Not useful for my needs,"Since I am on a fixed income, and live from check to check, I have to plan in advance.  I have not been able to start my video channel subscriptions on the DATE that I can pay them, so I wanted a way to allot the money needed for them throughout the month. I put money on the gift card so that I would have it available for this purpose. However, for some inane reason, I am not allowed to use it for that purpose. I am very annoyed.",NEGATIVE,NEGATIVE,ok,
52182,B00IX1I3G6,AGV2MPZVHNTVFGSYKFTNE7SGDLMA,1.0,reload only good once???????????,i reloaded for a 2nd time and was told you can only reload once,NEGATIVE,NEGATIVE,ok,
149750,B00OGPYGQ4,AGKHSWPQM4XN2FAVJGAY6LXMHQVA,1.0,Do Not Buy!!,Went to Order Pizza today; zero balance on all of the cards!!!,NEGATIVE,NEGATIVE,ok,
114857,B086KKT3RX,AGAEIPBSGTXXCW6QUDKLBF4MGX6Q,1.0,Adding to my Amazon gift card.,I always used to reload by balance using my Visa card. I now go to the store and buy a card and reload it to my account. I think the customer you know the people who are buying from Amazon should be able to reload their card how it works for them. Just one person's opinion.,NEGATIVE,NEUTRAL,ok,
41359,B086KKT3RX,AGY2NIZQKY3BT3LHCFL4HJEJ7UOQ,1.0,This is terrible!!!,"When I reloadEd my balance, I had more than 1 credit card on a list that I rotated through instead of using just 1 card.  My list is gone, there is no choice on how to add funds! Why mess with something that worked, was straight forward and easy to use????😡😡😡  I can't give this any stars!  Loops, forced to give you 1star, and that's too many!",NEGATIVE,NEGATIVE,ok,
110912,B01MSBQB1P,AELEXU6Z2WEPVSFYNFODSY2HBYSQ,1.0,Don’t buy this item,"Do NOT buy a VISA gift card through Amazon. They are required to activate the card PRIOR to sending it to the recipient, but rarely or never do.  The recipient ends up with a useless piece of plastic and you have to fight for your money back.",NEGATIVE,NEGATIVE,ok,
110104,B086KKT3RX,AHFZ7PF6FIJKHHGLV2BW45EZ5CMA,1.0,Don't like this new method,I don't like this new payment method to reload my gift card balance. My credit card was charged instead of my debit card. Please go back to the old method!,NEGATIVE,NEGATIVE,ok,
102518,B00IX1I3G6,AF2DGTPLWXELJPTYQYTSXKRSWAVA,1.0,Don't do it,If I could give it 0 I would. Worst customer service I've ever had. My account was locked for almost 3 weeks while trying to ADD money to my account.,NEGATIVE,NEGATIVE,ok,
138971,B01N5TMK8I,AEICKCECQVOGGLP7N5DMGIQRQYOQ,1.0,SCAM!! DONT BUY,I ordered a $50 Visa card as a gift and my aunt used $21 on it and now it’s saying there’s no money on it! I WANT MY MONEY BACK OR THERE WILL BE A LAWSUIT COMING YOUR WAY. YOU MESSED WITH THE WRONG PERSON,NEGATIVE,NEGATIVE,ok,
133995,B01GKZ3F64,AEEM5Z6T32Z7JLQCCLDCIJHXUZFA,1.0,Scam!!!! Gift cards don’t work,SCAM!!!! Gift cards are invalid,NEGATIVE,NEGATIVE,ok,
